Stock Name,Symbol,Recommendations,Average (Numeric),Average (Stars)
APPLE,AAPL,6,3.83,⭐⭐⭐☆☆
ABBVIE,ABBV,1,4.0,⭐⭐⭐⭐☆
ADOBE,ADBE,1,4.0,⭐⭐⭐⭐☆
AMC ENTERTAINMENT,AMC,1,4.0,⭐⭐⭐⭐☆
APPL,APPLX,1,4.0,⭐⭐⭐⭐☆
THE BOEING COMPANY,BA,1,4.0,⭐⭐⭐⭐☆
BANK OF AMERICA,BAC,1,4.0,⭐⭐⭐⭐☆
BIONANO GENOMICS,BNGO,1,0.0,
CITIGROUP,C,1,4.0,⭐⭐⭐⭐☆
CARNIVAL,CCL,1,4.0,⭐⭐⭐⭐☆
"CISCO SYSTEMS, INC.",CSCO,1,4.0,⭐⭐⭐⭐☆
CHEVRON,CVX,1,4.0,⭐⭐⭐⭐☆
DELTA AIR LINES,DAL,1,4.0,⭐⭐⭐⭐☆
DRAFTKINGS,DKNG,1,4.0,⭐⭐⭐⭐☆
ENERGY TRANSFER,ET,1,4.0,⭐⭐⭐⭐☆
FORD MOTOR,F,1,4.0,⭐⭐⭐⭐☆
GENERAL ELECTRIC COMPANY,GE,1,4.0,⭐⭐⭐⭐☆
ALPHABET CLASS C,GOOG,1,4.0,⭐⭐⭐⭐☆
"THE HOME DEPOT, INC.",HD,1,4.0,⭐⭐⭐⭐☆
INTEL CORPORATION,INTC,1,4.0,⭐⭐⭐⭐☆
ISRAEL,ISRL,1,4.0,⭐⭐⭐⭐☆
JOHNSON & JOHNSON,JNJ,1,4.0,⭐⭐⭐⭐☆
JPMORGAN CHASE & CO.,JPM,1,4.0,⭐⭐⭐⭐☆
THE COCA-COLA COMPANY,KO,1,4.0,⭐⭐⭐⭐☆
LUCID GROUP,LCID,1,4.0,⭐⭐⭐⭐☆
MASTERCARD INCORPORATED,MA,1,4.0,⭐⭐⭐⭐☆
ALTRIA GROUP,MO,1,4.0,⭐⭐⭐⭐☆
MODERNA,MRNA,1,4.0,⭐⭐⭐⭐☆
MICROSOFT CORPORATION,MSFT,1,4.0,⭐⭐⭐⭐☆
MICRON,MU,1,4.0,⭐⭐⭐⭐☆
NASDAQ,NDAQ,1,4.0,⭐⭐⭐⭐☆
NETFLIX,NFLX,1,4.0,⭐⭐⭐⭐☆
NIKE,NKE,1,4.0,⭐⭐⭐⭐☆
NVIDIA,NVDA,17,4.47,⭐⭐⭐⭐☆
PALANTIR TECHNOLOGIES,PLTR,1,4.0,⭐⭐⭐⭐☆
PLUG POWER,PLUG,1,4.0,⭐⭐⭐⭐☆
PAYPAL HOLDINGS,PYPL,1,4.0,⭐⭐⭐⭐☆
QUALCOMM,QCOM,1,4.0,⭐⭐⭐⭐☆
ROKU,ROKU,1,4.0,⭐⭐⭐⭐☆
STARBUCKS,SBUX,1,4.0,⭐⭐⭐⭐☆
SHOPIFY,SHOP,1,4.0,⭐⭐⭐⭐☆
SOFI TECHNOLOGIES,SOFI,1,4.0,⭐⭐⭐⭐☆
VIRGIN GALACTIC HOLDINGS,SPCE,1,4.0,⭐⭐⭐⭐☆
SPY,SPY,2,4.0,⭐⭐⭐⭐☆
BLOCK,SQ,2,3.5,⭐⭐⭐☆☆
TELADOC,TDOC,1,4.0,⭐⭐⭐⭐☆
TILRAY,TLRY,1,4.0,⭐⭐⭐⭐☆
TESLA,TSLA,2,4.0,⭐⭐⭐⭐☆
UBER TECHNOLOGIES,UBER,1,4.0,⭐⭐⭐⭐☆
VISA INC.,V,1,4.0,⭐⭐⭐⭐☆
VERIZON COMMUNICATIONS INC.,VZ,1,4.0,⭐⭐⭐⭐☆
WELLS FARGO,WFC,1,4.0,⭐⭐⭐⭐☆
WALMART,WMT,1,4.0,⭐⭐⭐⭐☆
EXXON MOBIL,XOM,1,4.0,⭐⭐⭐⭐☆
S&P,^GSPC,2,4.5,⭐⭐⭐⭐☆
